expr,min,lq,mean,median,uq,max,neval,name,variance,sd,dist_type,n,m,d
result,101.64095,106.624395,117.6919233,112.270391,116.298697,176.472592,10,rank_distance_original,470.055197099347,21.6807563774733,gamma,100,50,100
result,54.27728,54.756786,58.5581485,58.320359,61.406065,63.766329,10,rank_distance_upgraded,15.4734265951076,3.93362766350701,gamma,100,50,100
result,98.229235,103.959536,105.954522,106.730197,108.39292,111.731314,10,rank_distance_original,17.3575800239556,4.16624291466011,jednostajny,100,50,100
result,51.879568,52.228453,55.1528538,55.0777175,57.519252,60.391379,10,rank_distance_upgraded,9.92943810916351,3.15110109472285,jednostajny,100,50,100
result,96.824146,100.174956,105.0751694,105.647195,107.802432,114.355259,10,rank_distance_original,31.8837122197294,5.6465664097511,mieszany,100,50,100
result,51.337677,52.388664,55.0488295,54.998788,56.522117,60.975895,10,rank_distance_upgraded,9.44344411218695,3.07301872955356,mieszany,100,50,100
result,97.35858,101.65905,103.7139705,103.954025,104.782401,112.70805,10,rank_distance_original,15.2825487472658,3.90929005668111,normalny,100,50,100
result,55.104473,55.309674,58.7433978,58.2493955,61.601447,65.353822,10,rank_distance_upgraded,14.5657171956155,3.81650588832449,normalny,100,50,100
result,103.094592,105.530775,115.2964729,110.247381,111.345401,180.839183,10,rank_distance_original,541.54502351486,23.2711199454358,Poisson,100,50,100
result,52.309275,52.965345,55.4805108,55.095792,57.32031,61.299357,10,rank_distance_upgraded,8.93360769241796,2.98891413266055,Poisson,100,50,100
result,95.173108,98.647899,102.3121883,103.528939,104.91012,106.443576,10,rank_distance_original,13.5998111333073,3.68779217599194,t-Student,100,50,100
result,51.738154,54.417958,57.7495794,57.8088195,61.486637,62.514691,10,rank_distance_upgraded,17.2659682810898,4.15523384192633,t-Student,100,50,100
result,90.152745,96.297096,99.4147645,99.325138,102.534774,108.5978,10,rank_distance_original,35.7387018890941,5.97818550139539,gamma,100,50,20
result,46.346387,48.18319,51.4742529,51.524523,54.202049,57.726111,10,rank_distance_upgraded,15.1301708539674,3.88975202988152,gamma,100,50,20
result,90.097941,95.686082,97.3450059,96.218787,101.150185,105.505788,10,rank_distance_original,20.5840757058199,4.53696767740523,jednostajny,100,50,20
result,47.69059,47.951657,51.4861438,51.4010975,54.307671,57.504666,10,rank_distance_upgraded,13.499972691128,3.67423089790611,jednostajny,100,50,20
result,92.468071,95.288819,97.0095933,97.013545,98.939509,101.010965,10,rank_distance_original,8.35134765678912,2.88986983388337,mieszany,100,50,20
result,46.389561,46.875514,49.7850707,49.616846,51.021985,55.003347,10,rank_distance_upgraded,9.29147150924067,3.04819151452803,mieszany,100,50,20
result,92.695848,96.6964,98.9234836,98.787113,100.908682,105.661714,10,rank_distance_original,12.1656602892792,3.4879306600446,mix,100,50,20
result,48.649454,49.279401,54.1547912,55.134823,55.995377,64.338099,10,rank_distance_upgraded,22.0173184268297,4.69226154714651,mix,100,50,20
result,92.552925,96.811121,100.0322316,101.0085635,102.506506,105.966801,10,rank_distance_original,20.1236112856943,4.48593482851616,normal,100,50,20
result,46.264933,46.351737,49.0298567,48.444879,51.012726,53.919946,10,rank_distance_upgraded,8.13793160455624,2.85270601439339,normal,100,50,20
result,89.77587,91.489794,96.6660039,97.0100705,99.638473,103.287152,10,rank_distance_original,21.3333128197006,4.61879993285058,normalny,100,50,20
result,46.879212,47.546463,50.2850796,49.689898,53.010473,55.77988,10,rank_distance_upgraded,10.4755164835396,3.23659025573822,normalny,100,50,20
result,96.382504,98.317759,114.3517668,105.6875655,106.409676,173.203704,10,rank_distance_original,691.740374518831,26.300957673036,poisson,100,50,20
result,46.740546,47.270415,50.3893782,50.213602,52.206862,56.13294,10,rank_distance_upgraded,9.58126132538128,3.09536125926866,poisson,100,50,20
result,96.596535,97.750546,102.495443,104.028591,105.09073,108.109937,10,rank_distance_original,18.1084139585958,4.25539821386857,t-Student,100,50,20
result,46.510193,47.597276,49.9679302,49.5138275,51.631384,57.252548,10,rank_distance_upgraded,11.0466241175266,3.32364620823676,t-Student,100,50,20
result,91.064379,95.968496,98.1596338,96.606665,99.278412,107.395109,10,rank_distance_original,28.8428925716389,5.37055793857946,t,100,50,20
result,47.538655,48.379149,51.3800982,51.0900965,54.527557,56.459963,10,rank_distance_upgraded,11.8711456450891,3.44545289404587,t,100,50,20
result,91.319121,92.976856,95.7525607,96.5154275,97.649614,100.449115,10,rank_distance_original,8.18762208352714,2.86140211845996,uniform,100,50,20
result,45.766166,46.871389,49.975721,49.333503,53.832327,54.050983,10,rank_distance_upgraded,11.875616693806201,3.44610166620287,uniform,100,50,20
result,1678.645612,1714.673463,1749.7661477,1741.9542055,1771.830387,1837.8981450000001,10,rank_distance_original,2448.34593813872,49.4807633140266,gamma,200,250,100
result,664.79939,674.873357,704.2374643,692.0215725,729.715019,766.539635,10,rank_distance_upgraded,1353.6371249914,36.7918078516318,gamma,200,250,100
result,1640.227471,1672.270673,1722.5696405,1719.661048,1773.326895,1795.965077,10,rank_distance_original,3285.46621811016,57.318986541199,jednostajny,200,250,100
result,644.808759,659.218002,680.7037192,676.70847,698.861305,722.180402,10,rank_distance_upgraded,732.771141100165,27.0697458632357,jednostajny,200,250,100
result,1701.360121,1714.532456,1752.1575615,1754.0338015,1771.818834,1804.495825,10,rank_distance_original,1333.20472146318,36.5130760339797,mieszany,200,250,100
result,662.213309,668.346957,697.8454975,672.6701615,737.158033,771.766638,10,rank_distance_upgraded,1722.35210888697,41.50123020932,mieszany,200,250,100
result,1628.911759,1653.898865,1733.3168884,1750.3048495,1775.681777,1903.20251,10,rank_distance_original,7181.50892078833,84.7437839654823,normalny,200,250,100
result,658.215072,660.256642,684.6089557,672.076444,687.315862,789.216593,10,rank_distance_upgraded,1567.34049016088,39.5896513013298,normalny,200,250,100
result,1625.407594,1689.256404,1730.4450839,1744.369433,1789.160387,1796.78749,10,rank_distance_original,4320.69380423554,65.7319846363666,Poisson,200,250,100
result,667.039933,687.389768,724.0056638,707.2928295,757.684717,840.849128,10,rank_distance_upgraded,2854.36910605501,53.4262960166153,Poisson,200,250,100
result,1655.308501,1714.236784,1747.8159102,1740.9559185,1764.518102,1927.133463,10,rank_distance_original,5368.98091974147,73.2733302078012,t-Student,200,250,100
result,658.89663,661.38539,701.5213521,682.5569575,742.196852,770.78113,10,rank_distance_upgraded,1861.68056056568,43.1471964392321,t-Student,200,250,100
result,1559.314297,1633.912889,1677.3256202,1694.997413,1729.370636,1752.347027,10,rank_distance_original,4430.1918965644,66.5596867222526,gamma,200,250,20
result,584.911403,608.099532,633.4275461,635.9877555,663.935849,667.973973,10,rank_distance_upgraded,904.980448063046,30.0828929470396,gamma,200,250,20
result,1599.333929,1641.381046,1682.0665605,1676.5966145,1733.837119,1765.016197,10,rank_distance_original,3079.73320251696,55.4953439715167,jednostajny,200,250,20
result,595.602646,598.348248,636.1787623,607.8992685,683.574288,701.763383,10,rank_distance_upgraded,2066.68758099986,45.4608356830345,jednostajny,200,250,20
result,1605.225321,1621.956541,1648.038475,1643.4127015,1665.256487,1720.419484,10,rank_distance_original,1233.33877468079,35.1189233132338,mieszany,200,250,20
result,592.39645,593.654694,639.9140238,645.190753,665.321111,695.027167,10,rank_distance_upgraded,1444.93434675877,38.0122920482147,mieszany,200,250,20
result,1586.70569,1602.708327,1665.0415853,1640.9797315,1739.894099,1751.67542,10,rank_distance_original,4812.35975736828,69.3711738214676,normalny,200,250,20
result,595.001259,597.814482,645.4909673,646.8937005,685.6108,708.821114,10,rank_distance_upgraded,2182.99655997893,46.7225487316235,normalny,200,250,20
result,1577.313219,1616.268563,1670.873014,1683.443777,1727.336811,1741.491701,10,rank_distance_original,3796.93580034386,61.6192810761685,Poisson,200,250,20
result,588.32071,593.685634,633.7121818,608.8068335,660.219137,758.95669,10,rank_distance_upgraded,3313.33737272247,57.5615963357729,Poisson,200,250,20
result,1641.753087,1647.227,1666.8993584,1656.784915,1659.749749,1771.041164,10,rank_distance_original,1463.65763414272,38.2577787403127,t-Student,200,250,20
result,606.643954,626.442084,660.7056772,654.716996,666.070906,776.764646,10,rank_distance_upgraded,2257.16473990916,47.5096278654039,t-Student,200,250,20
result,7981.483814,8009.220543,8087.2887904,8093.581377,8134.979963,8211.826658,10,rank_distance_original,5680.96314683613,75.372164270612,gamma,500,300,100
result,2773.211393,2785.947474,2816.7755421,2811.5726565,2844.368113,2866.477778,10,rank_distance_upgraded,994.613756771458,31.5374976301459,gamma,500,300,100
result,8055.161539,8099.361091,8136.2292885,8122.089087,8185.076659,8268.655017,10,rank_distance_original,4242.99421553324,65.1382699765141,jednostajny,500,300,100
result,2763.91771,2815.656639,2848.2884506,2833.294996,2858.770684,3016.775366,10,rank_distance_upgraded,4956.85225189612,70.4049163900939,jednostajny,500,300,100
result,7980.952693,8080.708173,8151.4589995,8176.657172,8189.221071,8326.930368,10,rank_distance_original,8825.24909105373,93.9427969088303,mieszany,500,300,100
result,2741.173102,2773.895536,2808.7452941,2812.0664315,2834.732834,2882.843584,10,rank_distance_upgraded,1979.64537976054,44.4932059955286,mieszany,500,300,100
result,7925.090073,7996.616396,8025.0928218,8000.542335,8033.866679,8278.306752,10,rank_distance_original,9257.38222141408,96.2152909958396,normalny,500,300,100
result,2772.001133,2776.835446,2819.7280631,2782.596841,2881.043943,2977.232494,10,rank_distance_upgraded,4954.23044632242,70.386294449434,normalny,500,300,100
result,8107.477311,8766.695675,9016.0602346,9079.671902,9455.058224,9593.667768,10,rank_distance_original,275756.693875477,525.125407760353,Poisson,500,300,100
result,2781.886596,2794.679733,2904.2196106,2880.7965135,2961.88746,3228.610767,10,rank_distance_upgraded,18103.9061745019,134.550756870788,Poisson,500,300,100
result,8075.308093,8108.337618,8156.5592846,8124.527665,8132.183422,8412.339093,10,rank_distance_original,10078.5621027099,100.392042028788,t-Student,500,300,100
result,2717.511679,2775.928442,2805.9235141,2798.552679,2848.541209,2901.155477,10,rank_distance_upgraded,2674.64181305207,51.7169393240944,t-Student,500,300,100
result,7771.042618,7802.978765,7864.8338313,7877.9256035,7897.385875,7960.513647,10,rank_distance_original,3480.55220604295,58.9962050139071,gamma,500,300,20
result,2539.929431,2589.405441,2630.4955075,2609.956952,2680.806054,2755.659865,10,rank_distance_upgraded,4072.68797779004,63.8176149490879,gamma,500,300,20
result,7898.660971,7931.045775,8013.9945672,7988.5770045,8069.274415,8204.881521,10,rank_distance_original,10989.5769968254,104.831183322642,jednostajny,500,300,20
result,2596.02531,2612.079996,2642.1467111,2618.494778,2686.107289,2744.537952,10,rank_distance_upgraded,2386.73390695379,48.8542107392371,jednostajny,500,300,20
result,7865.083539,7937.242313,7998.7020695,7969.300181,8063.892679,8168.870175,10,rank_distance_original,8334.12618972274,91.291435467533,mieszany,500,300,20
result,2582.697143,2607.789478,2649.810138,2642.964104,2677.449673,2752.464501,10,rank_distance_upgraded,2676.21700836903,51.7321660900549,mieszany,500,300,20
result,7841.369917,7912.917307,7971.4198517,7945.781758,8016.180877,8167.789588,10,rank_distance_original,9538.93820751575,97.6674879758651,normalny,500,300,20
result,2577.976203,2592.536431,2618.9129099,2610.5578785,2645.07645,2674.636807,10,rank_distance_upgraded,964.763444860588,31.0606414109655,normalny,500,300,20
result,7803.123542,7880.811693,7922.9734277,7923.964533,7986.472358,7997.594411,10,rank_distance_original,4884.57723943305,69.8897506035975,Poisson,500,300,20
result,2567.450495,2594.330022,2637.7814191,2659.0305015,2679.408864,2695.335554,10,rank_distance_upgraded,2340.78131306112,48.3816216456324,Poisson,500,300,20
result,7831.823711,7886.879701,7940.259764,7911.1587205,8008.965084,8109.008561,10,rank_distance_original,7566.61488902465,86.9862913856238,t-Student,500,300,20
result,2596.888408,2602.368082,2623.9871437,2614.3578655,2640.497062,2670.666391,10,rank_distance_upgraded,749.704862158218,27.3807388899244,t-Student,500,300,20
result,98.229235,103.959536,105.954522,106.730197,108.39292,111.731314,10,rank_distance_original,17.3575800239556,4.16624291466011,jednostajny,100,50,100
result,51.879568,52.228453,55.1528538,55.0777175,57.519252,60.391379,10,rank_distance_upgraded,9.92943810916351,3.15110109472285,jednostajny,100,50,100
result,97.35858,101.65905,103.7139705,103.954025,104.782401,112.70805,10,rank_distance_original,15.2825487472658,3.90929005668111,normalny,100,50,100
result,55.104473,55.309674,58.7433978,58.2493955,61.601447,65.353822,10,rank_distance_upgraded,14.5657171956155,3.81650588832449,normalny,100,50,100
result,101.64095,106.624395,117.6919233,112.270391,116.298697,176.472592,10,rank_distance_original,470.055197099347,21.6807563774733,gamma,100,50,100
result,54.27728,54.756786,58.5581485,58.320359,61.406065,63.766329,10,rank_distance_upgraded,15.4734265951076,3.93362766350701,gamma,100,50,100
result,103.094592,105.530775,115.2964729,110.247381,111.345401,180.839183,10,rank_distance_original,541.54502351486,23.2711199454358,Poisson,100,50,100
result,52.309275,52.965345,55.4805108,55.095792,57.32031,61.299357,10,rank_distance_upgraded,8.93360769241796,2.98891413266055,Poisson,100,50,100
result,95.173108,98.647899,102.3121883,103.528939,104.91012,106.443576,10,rank_distance_original,13.5998111333073,3.68779217599194,t-Student,100,50,100
result,51.738154,54.417958,57.7495794,57.8088195,61.486637,62.514691,10,rank_distance_upgraded,17.2659682810898,4.15523384192633,t-Student,100,50,100
result,96.824146,100.174956,105.0751694,105.647195,107.802432,114.355259,10,rank_distance_original,31.8837122197294,5.6465664097511,mieszany,100,50,100
result,51.337677,52.388664,55.0488295,54.998788,56.522117,60.975895,10,rank_distance_upgraded,9.44344411218695,3.07301872955356,mieszany,100,50,100
result,90.097941,95.686082,97.3450059,96.218787,101.150185,105.505788,10,rank_distance_original,20.5840757058199,4.53696767740523,jednostajny,100,50,20
result,47.69059,47.951657,51.4861438,51.4010975,54.307671,57.504666,10,rank_distance_upgraded,13.499972691128,3.67423089790611,jednostajny,100,50,20
result,89.77587,91.489794,96.6660039,97.0100705,99.638473,103.287152,10,rank_distance_original,21.3333128197006,4.61879993285058,normalny,100,50,20
result,46.879212,47.546463,50.2850796,49.689898,53.010473,55.77988,10,rank_distance_upgraded,10.4755164835396,3.23659025573822,normalny,100,50,20
result,90.152745,96.297096,99.4147645,99.325138,102.534774,108.5978,10,rank_distance_original,35.7387018890941,5.97818550139539,gamma,100,50,20
result,46.346387,48.18319,51.4742529,51.524523,54.202049,57.726111,10,rank_distance_upgraded,15.1301708539674,3.88975202988152,gamma,100,50,20
result,90.588247,94.915139,102.7395123,96.5456225,98.736907,162.555029,10,rank_distance_original,448.581254080951,21.1797368746864,Poisson,100,50,20
result,46.520004,46.75453,49.3493044,48.850336,51.090856,55.617745,10,rank_distance_upgraded,8.92253271832337,2.9870608829288,Poisson,100,50,20
result,96.596535,97.750546,102.495443,104.028591,105.09073,108.109937,10,rank_distance_original,18.1084139585958,4.25539821386857,t-Student,100,50,20
result,46.510193,47.597276,49.9679302,49.5138275,51.631384,57.252548,10,rank_distance_upgraded,11.0466241175266,3.32364620823676,t-Student,100,50,20
result,92.468071,95.288819,97.0095933,97.013545,98.939509,101.010965,10,rank_distance_original,8.35134765678912,2.88986983388337,mieszany,100,50,20
result,46.389561,46.875514,49.7850707,49.616846,51.021985,55.003347,10,rank_distance_upgraded,9.29147150924067,3.04819151452803,mieszany,100,50,20
result,1640.227471,1672.270673,1722.5696405,1719.661048,1773.326895,1795.965077,10,rank_distance_original,3285.46621811016,57.318986541199,jednostajny,200,250,100
result,644.808759,659.218002,680.7037192,676.70847,698.861305,722.180402,10,rank_distance_upgraded,732.771141100165,27.0697458632357,jednostajny,200,250,100
result,1628.911759,1653.898865,1733.3168884,1750.3048495,1775.681777,1903.20251,10,rank_distance_original,7181.50892078833,84.7437839654823,normalny,200,250,100
result,658.215072,660.256642,684.6089557,672.076444,687.315862,789.216593,10,rank_distance_upgraded,1567.34049016088,39.5896513013298,normalny,200,250,100
result,1678.645612,1714.673463,1749.7661477,1741.9542055,1771.830387,1837.8981450000001,10,rank_distance_original,2448.34593813872,49.4807633140266,gamma,200,250,100
result,664.79939,674.873357,704.2374643,692.0215725,729.715019,766.539635,10,rank_distance_upgraded,1353.6371249914,36.7918078516318,gamma,200,250,100
result,1625.407594,1689.256404,1730.4450839,1744.369433,1789.160387,1796.78749,10,rank_distance_original,4320.69380423554,65.7319846363666,Poisson,200,250,100
result,667.039933,687.389768,724.0056638,707.2928295,757.684717,840.849128,10,rank_distance_upgraded,2854.36910605501,53.4262960166153,Poisson,200,250,100
result,1655.308501,1714.236784,1747.8159102,1740.9559185,1764.518102,1927.133463,10,rank_distance_original,5368.98091974147,73.2733302078012,t-Student,200,250,100
result,658.89663,661.38539,701.5213521,682.5569575,742.196852,770.78113,10,rank_distance_upgraded,1861.68056056568,43.1471964392321,t-Student,200,250,100
result,1701.360121,1714.532456,1752.1575615,1754.0338015,1771.818834,1804.495825,10,rank_distance_original,1333.20472146318,36.5130760339797,mieszany,200,250,100
result,662.213309,668.346957,697.8454975,672.6701615,737.158033,771.766638,10,rank_distance_upgraded,1722.35210888697,41.50123020932,mieszany,200,250,100
result,1599.333929,1641.381046,1682.0665605,1676.5966145,1733.837119,1765.016197,10,rank_distance_original,3079.73320251696,55.4953439715167,jednostajny,200,250,20
result,595.602646,598.348248,636.1787623,607.8992685,683.574288,701.763383,10,rank_distance_upgraded,2066.68758099986,45.4608356830345,jednostajny,200,250,20
result,1586.70569,1602.708327,1665.0415853,1640.9797315,1739.894099,1751.67542,10,rank_distance_original,4812.35975736828,69.3711738214676,normalny,200,250,20
result,595.001259,597.814482,645.4909673,646.8937005,685.6108,708.821114,10,rank_distance_upgraded,2182.99655997893,46.7225487316235,normalny,200,250,20
result,1559.314297,1633.912889,1677.3256202,1694.997413,1729.370636,1752.347027,10,rank_distance_original,4430.1918965644,66.5596867222526,gamma,200,250,20
result,584.911403,608.099532,633.4275461,635.9877555,663.935849,667.973973,10,rank_distance_upgraded,904.980448063046,30.0828929470396,gamma,200,250,20
result,1577.313219,1616.268563,1670.873014,1683.443777,1727.336811,1741.491701,10,rank_distance_original,3796.93580034386,61.6192810761685,Poisson,200,250,20
result,588.32071,593.685634,633.7121818,608.8068335,660.219137,758.95669,10,rank_distance_upgraded,3313.33737272247,57.5615963357729,Poisson,200,250,20
result,1641.753087,1647.227,1666.8993584,1656.784915,1659.749749,1771.041164,10,rank_distance_original,1463.65763414272,38.2577787403127,t-Student,200,250,20
result,606.643954,626.442084,660.7056772,654.716996,666.070906,776.764646,10,rank_distance_upgraded,2257.16473990916,47.5096278654039,t-Student,200,250,20
result,1605.225321,1621.956541,1648.038475,1643.4127015,1665.256487,1720.419484,10,rank_distance_original,1233.33877468079,35.1189233132338,mieszany,200,250,20
result,592.39645,593.654694,639.9140238,645.190753,665.321111,695.027167,10,rank_distance_upgraded,1444.93434675877,38.0122920482147,mieszany,200,250,20
result,8055.161539,8099.361091,8136.2292885,8122.089087,8185.076659,8268.655017,10,rank_distance_original,4242.99421553324,65.1382699765141,jednostajny,500,300,100
result,2763.91771,2815.656639,2848.2884506,2833.294996,2858.770684,3016.775366,10,rank_distance_upgraded,4956.85225189612,70.4049163900939,jednostajny,500,300,100
result,7925.090073,7996.616396,8025.0928218,8000.542335,8033.866679,8278.306752,10,rank_distance_original,9257.38222141408,96.2152909958396,normalny,500,300,100
result,2772.001133,2776.835446,2819.7280631,2782.596841,2881.043943,2977.232494,10,rank_distance_upgraded,4954.23044632242,70.386294449434,normalny,500,300,100
result,7981.483814,8009.220543,8087.2887904,8093.581377,8134.979963,8211.826658,10,rank_distance_original,5680.96314683613,75.372164270612,gamma,500,300,100
result,2773.211393,2785.947474,2816.7755421,2811.5726565,2844.368113,2866.477778,10,rank_distance_upgraded,994.613756771458,31.5374976301459,gamma,500,300,100
result,8107.477311,8766.695675,9016.0602346,9079.671902,9455.058224,9593.667768,10,rank_distance_original,275756.693875477,525.125407760353,Poisson,500,300,100
result,2781.886596,2794.679733,2904.2196106,2880.7965135,2961.88746,3228.610767,10,rank_distance_upgraded,18103.9061745019,134.550756870788,Poisson,500,300,100
result,8075.308093,8108.337618,8156.5592846,8124.527665,8132.183422,8412.339093,10,rank_distance_original,10078.5621027099,100.392042028788,t-Student,500,300,100
result,2717.511679,2775.928442,2805.9235141,2798.552679,2848.541209,2901.155477,10,rank_distance_upgraded,2674.64181305207,51.7169393240944,t-Student,500,300,100
result,7980.952693,8080.708173,8151.4589995,8176.657172,8189.221071,8326.930368,10,rank_distance_original,8825.24909105373,93.9427969088303,mieszany,500,300,100
result,2741.173102,2773.895536,2808.7452941,2812.0664315,2834.732834,2882.843584,10,rank_distance_upgraded,1979.64537976054,44.4932059955286,mieszany,500,300,100
result,7898.660971,7931.045775,8013.9945672,7988.5770045,8069.274415,8204.881521,10,rank_distance_original,10989.5769968254,104.831183322642,jednostajny,500,300,20
result,2596.02531,2612.079996,2642.1467111,2618.494778,2686.107289,2744.537952,10,rank_distance_upgraded,2386.73390695379,48.8542107392371,jednostajny,500,300,20
result,7841.369917,7912.917307,7971.4198517,7945.781758,8016.180877,8167.789588,10,rank_distance_original,9538.93820751575,97.6674879758651,normalny,500,300,20
result,2577.976203,2592.536431,2618.9129099,2610.5578785,2645.07645,2674.636807,10,rank_distance_upgraded,964.763444860588,31.0606414109655,normalny,500,300,20
result,7771.042618,7802.978765,7864.8338313,7877.9256035,7897.385875,7960.513647,10,rank_distance_original,3480.55220604295,58.9962050139071,gamma,500,300,20
result,2539.929431,2589.405441,2630.4955075,2609.956952,2680.806054,2755.659865,10,rank_distance_upgraded,4072.68797779004,63.8176149490879,gamma,500,300,20
result,7803.123542,7880.811693,7922.9734277,7923.964533,7986.472358,7997.594411,10,rank_distance_original,4884.57723943305,69.8897506035975,Poisson,500,300,20
result,2567.450495,2594.330022,2637.7814191,2659.0305015,2679.408864,2695.335554,10,rank_distance_upgraded,2340.78131306112,48.3816216456324,Poisson,500,300,20
result,7831.823711,7886.879701,7940.259764,7911.1587205,8008.965084,8109.008561,10,rank_distance_original,7566.61488902465,86.9862913856238,t-Student,500,300,20
result,2596.888408,2602.368082,2623.9871437,2614.3578655,2640.497062,2670.666391,10,rank_distance_upgraded,749.704862158218,27.3807388899244,t-Student,500,300,20
result,7865.083539,7937.242313,7998.7020695,7969.300181,8063.892679,8168.870175,10,rank_distance_original,8334.12618972274,91.291435467533,mieszany,500,300,20
result,2582.697143,2607.789478,2649.810138,2642.964104,2677.449673,2752.464501,10,rank_distance_upgraded,2676.21700836903,51.7321660900549,mieszany,500,300,20
result,1091155.153236,1098654.678019,1239962.1809652,1112276.3263255,1214803.444381,1763684.754938,10,rank_distance_original,58166555483.8497,241177.435685534,jednostajny,2000,2500,20
result,289758.178845,293177.263667,293558.5396565,293940.4321115,294361.442431,295227.093596,10,rank_distance_upgraded,2262971.26968885,1504.31754283757,jednostajny,2000,2500,20
result,1087520.42675,1093237.335262,1422432.7436977,1366383.0747315,1733045.722416,1869334.753338,10,rank_distance_original,125220947511.952,353865.719605547,normalny,2000,2500,20
result,289704.506414,290218.185865,291056.9681113,290996.470767,291707.149292,292918.521517,10,rank_distance_upgraded,1126348.66804463,1061.29574956495,normalny,2000,2500,20
result,1086691.053289,1091852.545675,1285123.7687805,1097297.2387395,1475106.201791,1770659.692346,10,rank_distance_original,69302857987.3021,263254.359863806,gamma,2000,2500,20
result,290699.11131,291048.047228,292076.0487221,291875.2306365,292577.694949,294033.138651,10,rank_distance_upgraded,1305947.15880129,1142.78045083091,gamma,2000,2500,20
result,1083957.878592,1094578.933495,1226963.6316529,1096731.11785,1424956.44622,1765972.474185,10,rank_distance_original,55011744181.7426,234545.825334289,Poisson,2000,2500,20
result,289635.958905,290414.910759,290835.385839,290882.5188285,291490.954791,291751.22455,10,rank_distance_upgraded,492659.127377524,701.896806786813,Poisson,2000,2500,20
result,1090306.03932,1091869.910262,1094552.6572874,1094622.1857795,1097014.088523,1098539.117416,10,rank_distance_original,8683985.34918826,2946.8602527416,t-Student,2000,2500,20
result,290059.160172,291006.019709,291564.8859927,291770.1440095,292375.327779,292602.924865,10,rank_distance_upgraded,855226.787688952,924.784725051702,t-Student,2000,2500,20
result,1092767.834284,1097750.460397,1220953.2192001,1099453.674485,1360686.47576,1598290.701404,10,rank_distance_original,43150620989.0184,207727.275505694,mieszany,2000,2500,20
result,288929.699081,291225.562248,292946.5042393,293494.5181515,294487.620294,295621.018792,10,rank_distance_upgraded,4550507.40432638,2133.19183486305,mieszany,2000,2500,20
